snapDuration,snapBilled,snapRestore,duration,billed,init
97.67,229,191.70,106.15,107,391.71
117.29,158,121.63,96.98,97,356.09
117.57,223,159.92,98.96,99,352.84
115.22,205,149.43,79.69,80,273.34
109.97,155,209.72,92.98,93,325.82
112.73,164,111.99,102.23,103,335.12
116.51,163,116.05,102.56,103,374.58
114.42,160,102.40,91.55,92,314.33
122.10,201,111.11,97.64,98,330.47
106.34,181,131.69,94.59,95,326.78
113.56,202,144.27,95.98,96,343.96
104.89,210,170.11,90.24,91,329.99
109.94,214,159.58,89.73,90,323.38
119.92,209,120.53,91.22,92,442.27
118.60,195,151.27,98.99,99,328.25
104.61,214,119.76,97.81,98,416.02
112.49,237,190.62,120.37,121,405.96
115.40,242,186.72,186.93,187,708.63
113.73,206,131.65,96.88,97,383.07
133.45,245,169.43,94.45,95,346.55
111.78,236,186.57,100.39,101,353.55
104.75,251,218.58,100.95,101,333.32
124.60,219,158.00,94.11,95,319.15
148.83,306,209.71,106.90,107,386.77
99.86,209,158.42,91.64,92,357.86
114.30,195,116.58,103.84,104,416.03
115.05,199,140.95,97.73,98,382.11
107.97,195,200.97,97.39,98,354.75
100.29,207,163.84,112.90,113,343.03
119.05,210,124.91,95.27,96,340.75
121.13,206,136.28,90.32,91,322.57
117.87,242,188.13,95.75,96,325.03
111.89,213,190.63,89.83,90,327.35
133.75,222,122.98,89.95,90,327.49
140.19,248,158.37,89.88,90,327.69
110.07,186,118.44,87.84,88,306.91
133.44,226,131.97,101.61,102,329.06
110.69,236,200.86,126.44,127,436.73
139.26,226,131.45,88.10,89,313.33
118.98,264,215.01,95.91,96,350.33
108.72,233,203.06,93.01,94,315.25
133.73,306,246.69,93.64,94,539.12
113.88,240,179.55,95.71,96,390.52
183.05,346,259.70,92.93,93,361.33
115.82,268,220.20,82.87,83,300.31
107.75,204,152.51,97.52,98,359.26
224.66,444,263.89,123.18,124,406.44
134.25,296,221.07,93.33,94,345.36
124.87,281,305.58,99.55,100,345.46
105.47,217,164.79,109.03,110,372.38
100.61,233,169.80,90.06,91,320.06
112.77,189,114.52,90.30,91,315.41
88.11,162,108.20,89.20,90,330.21
118.18,201,128.71,92.82,93,309.71
106.87,215,188.19,95.17,96,330.41
126.59,237,152.28,93.39,94,316.19
101.04,210,170.01,89.72,90,321.38
109.42,217,166.94,88.63,89,313.55
147.76,230,132.67,154.12,155,391.64
120.99,237,176.65,87.22,88,332.76
127.92,211,135.86,95.10,96,422.66
103.93,223,201.91,91.77,92,330.71
107.56,230,164.34,89.91,90,349.67
115.09,252,177.69,102.20,103,374.65
119.89,247,175.21,94.66,95,328.28
127.05,259,209.02,97.84,98,381.19
133.91,248,183.08,91.15,92,331.40
129.83,229,151.94,90.68,91,384.20
185.31,366,254.75,94.70,95,434.50
109.14,182,110.22,105.89,106,387.01
109.09,240,196.51,93.42,94,322.35
146.39,307,206.35,91.52,92,338.53
113.13,258,220.00,123.27,124,337.90
125.28,274,199.32,90.27,91,311.60
111.64,184,126.45,97.11,98,342.45
116.32,209,136.40,95.35,96,349.01
104.16,238,193.06,92.75,93,321.02
108.38,221,182.15,103.59,104,386.47
105.71,199,140.86,89.52,90,334.95
104.71,207,159.95,91.25,92,324.90
106.59,187,121.86,99.89,100,352.80
178.82,273,146.17,90.91,91,315.44
154.01,254,156.71,90.53,91,323.45
111.25,219,190.64,101.64,102,353.23
99.57,188,204.87,92.52,93,335.73
99.34,212,183.71,98.86,99,376.96
119.50,211,136.45,92.14,93,349.46
110.54,221,187.38,95.31,96,350.82
109.04,224,201.19,90.48,91,364.07
149.29,290,199.81,100.24,101,494.16
105.28,207,157.31,89.81,90,289.22
109.28,230,197.27,89.97,90,328.90
97.00,209,175.14,89.61,90,338.78
108.40,188,123.82,89.05,90,324.49
125.17,207,158.19,89.06,90,329.42
108.50,216,166.61,92.77,93,348.80
107.55,185,108.74,87.61,88,290.10
106.66,238,209.93,99.14,100,367.35
101.14,176,117.43,93.69,94,328.52
99.81,202,192.76,91.61,92,351.27
110.55,229,174.93,111.66,112,381.74
117.64,216,157.65,102.50,103,377.68
112.54,193,141.35,94.52,95,326.36
104.14,218,177.31,89.21,90,324.75
109.69,187,131.91,95.36,96,332.09
130.09,208,146.27,95.81,96,344.95
122.15,209,136.18,88.14,89,325.80
92.48,158,93.95,90.19,91,321.33
115.63,256,214.11,89.43,90,329.21
111.15,211,138.75,103.90,104,378.80
99.61,210,160.76,97.06,98,347.54
121.06,226,149.75,112.21,113,343.54
127.18,219,135.48,89.16,90,319.12
151.35,243,157.97,96.89,97,312.13
121.47,252,224.51,76.68,77,281.60
105.40,216,201.48,98.22,99,345.13
125.86,206,129.65,95.15,96,320.33
148.82,331,255.56,91.72,92,327.71
109.99,191,137.76,115.36,116,406.88
117.19,184,106.59,99.31,100,357.80
117.21,282,203.67,90.84,91,319.81
117.07,214,146.70,92.54,93,327.31
101.34,171,101.91,100.08,101,345.28
97.60,169,134.58,95.41,96,363.01
125.75,212,131.58,89.70,90,316.09
114.61,190,119.22,91.69,92,310.21
104.28,126,39.39,94.50,95,322.06
100.19,222,196.17,91.14,92,316.07
111.46,202,144.21,90.05,91,320.12
113.53,295,221.23,92.14,93,330.01
103.55,216,172.02,89.84,90,331.77
105.70,221,166.68,100.79,101,333.66
124.42,258,206.91,93.09,94,316.27
122.36,226,153.05,89.20,90,319.73
101.71,219,188.37,94.91,95,315.19
